timestamp,username,accountNumber,action,amount,mode,resultingBalance,txnId,chequeId,metadata
02-12-2025 21:26:51,test_user,562107162630,CUSTOMER_CREATED,,,,,,customerId=CUST26503154
02-12-2025 21:26:51,test_user,562107162630,ACCOUNT_CREATED,,,,,,type=Pride;customerId=CUST26503154
02-12-2025 21:27:15,test_user,562106510050,CUSTOMER_CREATED,,,,,,customerId=CUST17385053
02-12-2025 21:27:15,test_user,562106510050,ACCOUNT_CREATED,,,,,,type=Pride;customerId=CUST17385053
02-12-2025 21:27:46,test_user,562128937420,CUSTOMER_CREATED,,,,,,customerId=CUST82447457
02-12-2025 21:27:46,test_user,562128937420,ACCOUNT_CREATED,,,,,,type=Pride;customerId=CUST82447457
02-12-2025 21:27:55,test_user,562194343303,CUSTOMER_CREATED,,,,,,customerId=CUST02580696
02-12-2025 21:27:55,test_user,562194343303,ACCOUNT_CREATED,,,,,,type=Pride;customerId=CUST02580696
02-12-2025 21:28:04,test_user,562155743506,CUSTOMER_CREATED,,,,,,customerId=CUST50447979
02-12-2025 21:28:04,test_user,562155743506,ACCOUNT_CREATED,,,,,,type=Pride;customerId=CUST50447979
02-12-2025 21:28:42,test_user,562175592508,CUSTOMER_CREATED,,,,,,customerId=CUST63758757
02-12-2025 21:28:42,test_user,562175592508,ACCOUNT_CREATED,,,,,,type=Pride;customerId=CUST63758757
03-12-2025 21:32:01,test_user,562194343303,CREDIT_CARD_BILL_PAYMENT,962.44,,50000,FHIC9096979056,,billId=BILL1001;cardId=CARD134318507;rewardPoints=9;nachId=NACH20251202323445
03-12-2025 21:32:21,test_user,562194343303,CREDIT_CARD_BILL_PAYMENT,1010.51,,50000,FHIC0883348831,,billId=BILL1001;cardId=CARD134318507;rewardPoints=10;nachId=NACH20251202323445
03-09-2025 21:50:31,test_user,562194343303,CREDIT_CARD_BILL_PAYMENT,908.8,,50000,FHIC9106346783,,billId=BILL1001;cardId=CARD134318507;rewardPoints=9;nachId=NACH20251202323445
03-09-2025 21:50:31,test_user,562155743506,CREDIT_CARD_BILL_PAYMENT,953.49,,50000,FHIC8410318586,,billId=BILL1001;cardId=CARD644879925;rewardPoints=9;nachId=NACH20251202993581
03-09-2025 21:50:31,test_user,562175592508,CREDIT_CARD_BILL_PAYMENT,1067.77,,50000,FHIC6187448410,,billId=BILL1001;cardId=CARD633615970;rewardPoints=10;nachId=NACH20251202767828
01-10-2025 21:50:31,test_user,562194343303,CREDIT_CARD_BILL_GENERATED,908.8,,,,,cardId=CARD134318507;dueDate=2025-10-16
01-10-2025 21:50:31,test_user,562155743506,CREDIT_CARD_BILL_GENERATED,953.49,,,,,cardId=CARD644879925;dueDate=2025-10-16
01-10-2025 21:50:31,test_user,562175592508,CREDIT_CARD_BILL_GENERATED,1067.77,,,,,cardId=CARD633615970;dueDate=2025-10-16
01-11-2025 21:50:31,test_user,562194343303,CREDIT_CARD_BILL_GENERATED,922.4319999999999,,,,,cardId=CARD134318507;dueDate=2025-11-16
01-11-2025 21:50:31,test_user,562155743506,CREDIT_CARD_BILL_GENERATED,967.79235,,,,,cardId=CARD644879925;dueDate=2025-11-16
01-11-2025 21:50:31,test_user,562175592508,CREDIT_CARD_BILL_GENERATED,1083.78655,,,,,cardId=CARD633615970;dueDate=2025-11-16
01-12-2025 21:50:31,test_user,562194343303,CREDIT_CARD_BILL_GENERATED,936.26848,,,,,cardId=CARD134318507;dueDate=2025-12-16
01-12-2025 21:50:31,test_user,562155743506,CREDIT_CARD_BILL_GENERATED,982.30923525,,,,,cardId=CARD644879925;dueDate=2025-12-16
01-12-2025 21:50:31,test_user,562175592508,CREDIT_CARD_BILL_GENERATED,1100.04334825,,,,,cardId=CARD633615970;dueDate=2025-12-16
01-10-2025 21:50:43,test_user,562194343303,CREDIT_CARD_BILL_GENERATED,950.3125071999999,,,,,cardId=CARD134318507;dueDate=2025-10-16
01-10-2025 21:50:43,test_user,562155743506,CREDIT_CARD_BILL_GENERATED,997.04387377875,,,,,cardId=CARD644879925;dueDate=2025-10-16
01-10-2025 21:50:43,test_user,562175592508,CREDIT_CARD_BILL_GENERATED,1116.54399847375,,,,,cardId=CARD633615970;dueDate=2025-10-16
01-11-2025 21:50:43,test_user,562194343303,CREDIT_CARD_BILL_GENERATED,964.567194808,,,,,cardId=CARD134318507;dueDate=2025-11-16
01-11-2025 21:50:43,test_user,562155743506,CREDIT_CARD_BILL_GENERATED,1011.9995318854312,,,,,cardId=CARD644879925;dueDate=2025-11-16
01-11-2025 21:50:43,test_user,562175592508,CREDIT_CARD_BILL_GENERATED,1133.2921584508563,,,,,cardId=CARD633615970;dueDate=2025-11-16
01-12-2025 21:50:43,test_user,562194343303,CREDIT_CARD_BILL_GENERATED,979.03570273012,,,,,cardId=CARD134318507;dueDate=2025-12-16
01-12-2025 21:50:43,test_user,562155743506,CREDIT_CARD_BILL_GENERATED,1027.1795248637127,,,,,cardId=CARD644879925;dueDate=2025-12-16
01-12-2025 21:50:43,test_user,562175592508,CREDIT_CARD_BILL_GENERATED,1150.2915408276192,,,,,cardId=CARD633615970;dueDate=2025-12-16
01-10-2025 21:56:53,test_user,562194343303,CREDIT_CARD_BILL_GENERATED,993.7212382710718,,,,,cardId=CARD134318507;dueDate=2025-10-16
01-10-2025 21:56:53,test_user,562155743506,CREDIT_CARD_BILL_GENERATED,1042.5872177366684,,,,,cardId=CARD644879925;dueDate=2025-10-16
01-10-2025 21:56:53,test_user,562175592508,CREDIT_CARD_BILL_GENERATED,1167.5459139400334,,,,,cardId=CARD633615970;dueDate=2025-10-16
01-11-2025 21:56:53,test_user,562194343303,CREDIT_CARD_BILL_GENERATED,1008.6270568451379,,,,,cardId=CARD134318507;dueDate=2025-11-16
01-11-2025 21:56:53,test_user,562155743506,CREDIT_CARD_BILL_GENERATED,1058.2260260027185,,,,,cardId=CARD644879925;dueDate=2025-11-16
01-11-2025 21:56:53,test_user,562175592508,CREDIT_CARD_BILL_GENERATED,1185.0591026491338,,,,,cardId=CARD633615970;dueDate=2025-11-16
01-12-2025 21:56:53,test_user,562194343303,CREDIT_CARD_BILL_GENERATED,1023.756462697815,,,,,cardId=CARD134318507;dueDate=2025-12-16
01-12-2025 21:56:53,test_user,562155743506,CREDIT_CARD_BILL_GENERATED,1074.0994163927594,,,,,cardId=CARD644879925;dueDate=2025-12-16
01-12-2025 21:56:53,test_user,562175592508,CREDIT_CARD_BILL_GENERATED,1202.8349891888708,,,,,cardId=CARD633615970;dueDate=2025-12-16
